Cost,Weight,Weight1,Length,Height,Width,Color
1100,40.1,43,45.5,12.5125,7.4165,Yellow
1000,40.2,43.5,46,12.604,8.142,Green
1000,41.1,44,46.6,12.4888,7.5958,Red
200,30,32.25.3,34.25.8,5.568,3.3756,Yellow
300,31.7,34,37.8,5.7078,4.158,Green
300,32.7,35,38.8,5.9364,4.3844,Red
300,34.8,37.3,39.8,6.2884,4.0198,Yellow
430,35.5,38,40.5,7.29,4.5765,Green
345,36,38.5,41,6.396,3.977,Red
456,40,42.5,45.5,7.28,4.3225,Yellow
510,40,42.5,45.5,6.825,4.459,Green
540,40.1,43,45.8,7.786,5.1296,Red
500,42,45,48,6.96,4.896,Yellow
567,43.2,46,48.7,7.792,4.87,Green
770,44.8,48,51.2,7.68,5.376,Red
950,48.3,51.7,55.1,8.9262,6.1712,Yellow
1250,52,56,59.7,10.6863,6.9849,Green
1600,56,60,64,9.6,600000,Red
1550,56,60,64,9.6,6.144,Yellow
1650,59,63.4,68,10.812,7.48,Green
6.7,9.3,9.8,10.8,1.7388,1.0476,Red
7.5,10,10.5,11.6,1.972,1.16,Yellow
7,10.1,10.6,11.6,1.7284,1.1484,Green
9.7,10.4,11,12,2.196,,Red
9.8,10.7,11.2,12.4,2.0832,1.2772,Yellow
8.7,10.8,11.3,12.6,1.9782,1.2852,Green
10,11.3,11.8,13.1,2.2139,1.2838,Red
9.9,11.3,11.8,13.1,2.2139,1.1659,Yellow
9.8,11.4,12,13.2,2.2044,1.1484,Green
12.2,11.5,12.2,13.4,2.0904,1.3936,Red
13.4,11.7,12.4,13.5,2.43,1.269,Yellow
12.2,12.1,13,13.8,2.277,1.2558,Green
19.7,13.2,14.3,15.2,2.8728,2.0672,Red
19.9,13.8,15,16.2,2.9322,1.8792,Yellow
